dataset,Sample,n_raw,n_after_mad,n_doublet,n_final,status,reason,ncount_lo,ncount_hi,nfeat_lo,nfeat_hi,mt_hi,hb_hi,med_ncount_final,med_nfeat_final,lowcomplexity_flag,dbl_method,ncount_lo_mad,nfeat_lo_mad,mt_hi_mad,n_fail_mad,n_fail_abs,mad_loss,dbl_rate_exp,dbl_rate_obs,platform,upstream_filtered
GSE227903,3904_Dg,4235,3320,218,3102,PASS,OK,1233.90898287241,76915.3684083471,711.19082558319,12646.3962644973,13.5446458529056,0.0281292920948004,10639,3177.5,FALSE,consensus_union,1233.90898287241,711.19082558319,13.5446458529056,915,0,0.216056670602125,0.03388,0.0656626506024096,10x,TRUE
GSE227903,3904_MRD,3183,2322,149,2173,PASS,OK,1213.10050273752,95138.0769685262,683.905508040998,11751.9524342217,10.8473764747539,0.977882893416201,9664,2798,FALSE,consensus_union,1213.10050273752,683.905508040998,10.8473764747539,861,0,0.270499528746466,0.025464,0.0641688199827735,10x,TRUE
GSE227903,3904_R,11427,10222,1722,8500,PASS,OK,1422.36786224213,28923.175988489,655.572116013716,6701.34664468872,10.3778796690711,0.0980932840949154,6079,2007,FALSE,consensus_union,1422.36786224213,655.572116013716,10.3778796690711,1205,0,0.105451999649952,0.091416,0.168460183917042,10x,TRUE
GSE227903,40389_Dg,4594,3125,282,2843,PASS,OK,500,257726.993106411,225.761812751694,20408.5090558143,13.8504184404169,1.32938248485199,5454,1923,FALSE,consensus_union,185.53440376444,225.761812751694,13.8504184404169,1469,0,0.319764910753156,0.036752,0.09024,10x,TRUE
GSE227903,40389_MRD,4673,3847,314,3533,PASS,OK,522.457604552563,38038.9984313083,351.326321116421,6900.27719043763,10.2189199363128,0.175826684507473,4490,1573,FALSE,consensus_union,522.457604552563,351.326321116421,10.2189199363128,826,0,0.176760111277552,0.037384,0.0816220431505069,10x,TRUE
GSE227903,40389_R,7051,5492,685,4807,PASS,OK,500,40996.3287201173,295.752615643814,6943.26572743855,10.1506042393163,0.788994937479306,3471,1334,FALSE,consensus_union,376.546912417182,295.752615643814,10.1506042393163,1559,0,0.221103389590129,0.056408,0.124726875455208,10x,TRUE
GSE227903,4978_Dg,3502,2698,210,2488,PASS,OK,1652.64463640584,96912.3527658789,938.08338526627,12355.6372301702,13.2207853619133,0.168892377067841,13863,3648.5,FALSE,consensus_union,1652.64463640584,938.08338526627,13.2207853619133,804,0,0.229583095374072,0.028016,0.0778354336545589,10x,TRUE
GSE227903,4978_MRD,2477,1735,96,1639,PASS,OK,500,447559.688398505,353.690172246076,18456.902431143,13.1049137783893,46.2600775841458,9138,2688,FALSE,consensus_union,283.034929828642,353.690172246076,13.1049137783893,742,0,0.299555914412596,0.019816,0.0553314121037464,10x,TRUE
GSE227903,4978_R,2457,2058,111,1947,PASS,OK,4563.79537281116,77361.9479311851,1976.42004186811,9372.71207920496,11.4127353599152,0.0310062606715993,19913,4423,FALSE,consensus_union,4563.79537281116,1976.42004186811,11.4127353599152,399,0,0.162393162393162,0.019656,0.053935860058309,10x,TRUE
GSE227903,5143_Dg,1213,1105,44,1061,PASS,OK,1683.67122237922,86041.3209387095,966.857738293929,10445.8842288643,14.1164306388656,0.0679291792071679,12326,3237,FALSE,consensus_union,1683.67122237922,966.857738293929,14.1164306388656,108,0,0.089035449299258,0.009704,0.0398190045248869,10x,TRUE
GSE227903,5143_R,2323,2111,111,2000,PASS,OK,1044.68771632684,82612.3430487421,734.550849850418,11143.3007009206,15.3555490070588,0.0796161315715531,9574.5,2905.5,FALSE,consensus_union,1044.68771632684,734.550849850418,15.3555490070588,212,0,0.0912613000430478,0.018584,0.0525817148270962,10x,TRUE
GSE227903,5750_Dg,5444,4287,386,3901,PASS,OK,3117.61676843776,53294.5876100284,1328.90587516402,8475.19467743335,13.3020398110043,0.0737044770584435,12716,3322,FALSE,consensus_union,3117.61676843776,1328.90587516402,13.3020398110043,1157,0,0.212527553269655,0.043552,0.0900396547702356,10x,TRUE
GSE227903,5750_MRD,3167,2236,149,2087,PASS,OK,707.344711665609,165815.758661454,510.100300325172,17479.2996481598,13.8207364930028,0.473614318033491,10715,3066,FALSE,consensus_union,707.344711665609,510.100300325172,13.8207364930028,931,0,0.293969055888854,0.025336,0.0666368515205725,10x,TRUE
GSE227903,5750_R,6390,5226,513,4713,PASS,OK,579.757254692657,135798.435229132,338.8507135046,14212.2468924198,13.249392891873,0.221307665530579,8617,2138,FALSE,consensus_union,579.757254692657,338.8507135046,13.249392891873,1164,0,0.182159624413146,0.05112,0.0981630309988519,10x,TRUE
GSE227903,6323_Dg,725,604,22,582,PASS,OK,1941.39502702471,147534.001072907,1143.76275705828,13593.0715561914,14.5985814506891,0.0239316464593217,19036.5,4189,FALSE,consensus_union,1941.39502702471,1143.76275705828,14.5985814506891,121,0,0.166896551724138,0.0058,0.0364238410596027,10x,TRUE
GSE227903,6323_MRD,13609,11276,1699,9577,PASS,OK,500,55469.7397266539,298.444174769433,7731.2984975585,10.0555135275777,0.0741752331676765,4310,1534,FALSE,consensus_union,314.839065156246,298.444174769433,10.0555135275777,2333,0,0.171430670879565,0.1,0.150673997871586,10x,TRUE
GSE227903,6323_R,1128,895,31,864,PASS,OK,1153.35645404948,129790.924110594,763.982524925435,13012.6117753417,17.3820064408402,0.111665147835221,12033,3163,FALSE,consensus_union,1153.35645404948,763.982524925435,17.3820064408402,233,0,0.206560283687943,0.009024,0.0346368715083799,10x,TRUE
GSE227903,6323_R2,5534,3839,335,3504,PASS,OK,500,154330.447076703,288.859873440846,14056.0367614766,12.6329661391427,0.647495435053769,5628,1822,FALSE,consensus_union,388.127223983414,288.859873440846,12.6329661391427,1695,0,0.306288398988074,0.044272,0.0872623078926804,10x,TRUE
